"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","2","0","0","0"
"Hangszerdiszkont.hu","","Registration tests","0","6","0","0","0"
"Hangszerdiszkont.hu","","Data save","0","11","0","0","0"
"Hangszerdiszkont.hu","","New Data Input","0","3","0","0","0"
"Hangszerdiszkont.hu","","Delete Data","0","3","0","0","0"
"Hangszerdiszkont.hu","","Login Tests","0","4","0","0","0"
"Hangszerdiszkont.hu","","Scanning a multi-page list","0","3","0","0","0"
"Hangszerdiszkont.hu","","Privacy Policy","0","2","0","0","0"
"Hangszerdiszkont.hu","","Logout","0","2","0","0","0"
"Hangszerdiszkont.hu","","Listing of data","0","3","0","0","0"
"Hangszerdiszkont.hu","","Modify existing data","0","2","0","0","0"
