"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","224","","TestDataSave","","TestDataSave","TestMultiplePagesStringSave","repetition 2 of 5","Accessing guitar string pages and the name of each string is stored in a JSON file "
"broken","Fri Jul 01 19:18:47 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","191","","TestPrivacyPolicy","","TestPrivacyPolicy","privacyDetailsOpen","repetition 1 of 1","Privacy Policy Open"
"broken","Fri Jul 01 19:18:45 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","253","","TestLogin","","TestLogin","testingLoginRegistered","repetition 1 of 1","Login with a registered account (USER 1)"
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","137","","TestPageList","","TestPageList","SteppingOnMultiplePages2","repetition 1 of 1","Accessing headphone pages"
"broken","Fri Jul 01 19:18:49 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","138","","Test01Register","","Test01Register","testingRegistrationCorrectData","repetition 1 of 1","Registration with correctly filled data"
"broken","Fri Jul 01 19:18:45 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","328","","TestLogin","","TestLogin","testingLoginMissingPassword","repetition 1 of 1","Login with missing password"
"broken","Fri Jul 01 19:18:49 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","175","","TestDeleteData","","TestDeleteData","TestDeleteFullAccount","repetition 1 of 1","Delete account"
"broken","Fri Jul 01 19:18:49 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","149","","TestDeleteData","","TestDeleteData","TestExistDataDeleteLastN","repetition 1 of 1","Delete last name data"
"broken","Fri Jul 01 19:18:44 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","214","","TestLogin","","TestLogin","testingLoginUnRegistered","repetition 1 of 1","Login with an unregistered account (USER 3)"
"broken","Fri Jul 01 19:18:47 GMT 2022","Fri Jul 01 19:18:47 GMT 2022","150","","TestPrivacyPolicy","","TestPrivacyPolicy","privacyAccepted","repetition 1 of 1","Privacy Policy Accept"
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","138","","Test01Register","","Test01Register","testingRegistrationMissingData","repetition 1 of 1","Registration with missing data"
"broken","Fri Jul 01 19:18:43 GMT 2022","Fri Jul 01 19:18:44 GMT 2022","242","","TestNewDataInput","","TestNewDataInput","TestNewDataInputGeneral","repetition 1 of 1","General search"
"broken","Fri Jul 01 19:18:47 GMT 2022","Fri Jul 01 19:18:47 GMT 2022","159","","TestListingData","","TestListingData","testDataListStudioCategory","repetition 1 of 1","Listing of Studio Category"
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:47 GMT 2022","159","","TestDataSave","","TestDataSave","TestMultiplePagesStringSave","repetition 5 of 5","Accessing guitar string pages and the name of each string is stored in a JSON file "
"broken","Fri Jul 01 19:18:49 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","135","","Test01Register","","Test01Register","testingRegistrationIncorrectChar","repetition 1 of 1","Registration with incorrect char types"
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","206","","TestDataSave","","TestDataSave","TestMultiplePagesStringSave","repetition 3 of 5","Accessing guitar string pages and the name of each string is stored in a JSON file "
"broken","Fri Jul 01 19:18:45 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","350","","TestDataSave","","TestDataSave","TestDataListSave","repetition 3 of 5","Saving guitar category list to a file"
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","152","","TestDataSave","","TestDataSave","TestMultiplePagesStringSave","repetition 4 of 5","Accessing guitar string pages and the name of each string is stored in a JSON file "
"broken","Fri Jul 01 19:18:47 GMT 2022","Fri Jul 01 19:18:47 GMT 2022","145","","TestListingData","","TestListingData","testDataListMicCategory","repetition 1 of 1","Listing of Microphone Category"
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","299","","TestLogin","","TestLogin","testLogout","testLogout()",""
"broken","Fri Jul 01 19:18:46 GMT 2022","Fri Jul 01 19:18:46 GMT 2022","231","","TestDataOperations","","TestDataOperations","TestDataListSave","TestDataListSave()",""
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","140","","Test01Register","","Test01Register","testingRegistrationEasyPassword","repetition 1 of 1","Registration with too easy password"
"broken","Fri Jul 01 19:18:41 GMT 2022","Fri Jul 01 19:18:43 GMT 2022","1695","","TestModifyExistingData","","TestModifyExistingData","TestExistDataModifyBasic","repetition 1 of 1","Modify existing account basic data"
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","144","","TestPageList","","TestPageList","SteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"broken","Fri Jul 01 19:18:43 GMT 2022","Fri Jul 01 19:18:44 GMT 2022","322","","TestLogout","","TestLogout","testLogoutCheckWishList","repetition 1 of 1","Log out of the account, and check that your account wish list is available despite the confirmation "
"broken","Fri Jul 01 19:18:47 GMT 2022","Fri Jul 01 19:18:47 GMT 2022","163","","TestSavingData","","TestSavingData","SteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"broken","Fri Jul 01 19:18:43 GMT 2022","Fri Jul 01 19:18:43 GMT 2022","395","","TestModifyExistingData","","TestModifyExistingData","TestExistDataModifyPassword","repetition 1 of 1","Modify existing account password data"
"broken","Fri Jul 01 19:18:44 GMT 2022","Fri Jul 01 19:18:44 GMT 2022","304","","TestDataSave","","TestDataSave","TestMultiplePagesHeadphoneSave","repetition 1 of 1","Accessing headphones pages and the name of each headphones is stored in a JSON file "
"broken","Fri Jul 01 19:18:45 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","343","","TestDataSave","","TestDataSave","TestDataListSave","repetition 4 of 5","Saving guitar category list to a file"
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","135","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"broken","Fri Jul 01 19:18:44 GMT 2022","Fri Jul 01 19:18:44 GMT 2022","246","","TestNewDataInput","","TestNewDataInput","TestNewDataInputSpecific","repetition 1 of 1","Search for a specific product"
"broken","Fri Jul 01 19:18:44 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","303","","TestDataSave","","TestDataSave","TestDataListSave","repetition 2 of 5","Saving guitar category list to a file"
"broken","Fri Jul 01 19:18:45 GMT 2022","Fri Jul 01 19:18:45 GMT 2022","336","","TestLogin","","TestLogin","testingLoginMissingEmail","repetition 1 of 1","Sign in with missing email address"
"broken","Fri Jul 01 19:18:41 GMT 2022","Fri Jul 01 19:18:43 GMT 2022","1914","","TestLogout","","TestLogout","testLogoutConfirm","repetition 1 of 1","Log out of the account"
"broken","Fri Jul 01 19:18:49 GMT 2022","Fri Jul 01 19:18:49 GMT 2022","133","","TestDeleteData","","TestDeleteData","TestExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
"broken","Fri Jul 01 19:18:48 GMT 2022","Fri Jul 01 19:18:48 GMT 2022","134","","Test01Register","","Test01Register","testingRegistrationBadEmail","repetition 1 of 1","Registration with incorrect email data"
